,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male
1,Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female
2,Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female
3,Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female
4,Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male
5,Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female
6,Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male
10,Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female
11,Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male
12,Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female
13,Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male
14,Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male
15,Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female
16,Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male
17,Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female
18,Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female
19,Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male
20,Adelie,Dream,39.5,16.7,178.0,3250.0,Female
21,Adelie,Dream,37.2,18.1,178.0,3900.0,Male
22,Adelie,Dream,39.5,17.8,188.0,3300.0,Female
23,Adelie,Dream,40.9,18.9,184.0,3900.0,Male
24,Adelie,Dream,36.4,17.0,179.0,3200.0,Female
25,Adelie,Dream,39.2,21.1,196.0,4150.0,Male
26,Adelie,Dream,38.8,20.0,190.0,3925.0,Male
27,Adelie,Dream,42.5,20.7,197.0,4500.0,Male
28,Adelie,Dream,34.4,18.4,184.0,3325.0,Female
29,Adelie,Dream,46.0,21.5,194.0,4200.0,Male
